Date,Open,High,Low,Close,Adj Close,Volume
2018-12-14,64.769997,64.769997,64.769997,64.769997,60.084305,0
2018-12-17,63.380001,63.380001,63.380001,63.380001,58.794868,0
2018-12-18,63.389999,63.389999,63.389999,63.389999,58.804150,0
2018-12-19,62.400002,62.400002,62.400002,62.400002,57.885769,0
2018-12-20,61.410000,61.410000,61.410000,61.410000,56.967381,0
2018-12-21,59.770000,59.770000,59.770000,59.770000,55.760193,0
2018-12-24,58.189999,58.189999,58.189999,58.189999,54.286198,0
2018-12-26,61.080002,61.080002,61.080002,61.080002,56.982315,0
2018-12-27,61.570000,61.570000,61.570000,61.570000,57.439434,0
2018-12-28,61.549999,61.549999,61.549999,61.549999,57.420784,0
2018-12-31,62.090000,62.090000,62.090000,62.090000,57.924557,0
2019-01-02,62.150002,62.150002,62.150002,62.150002,57.980534,0
2019-01-03,60.709999,60.709999,60.709999,60.709999,56.637131,0
2019-01-04,62.810001,62.810001,62.810001,62.810001,58.596260,0
2019-01-07,63.349998,63.349998,63.349998,63.349998,59.100018,0
2019-01-08,64.019997,64.019997,64.019997,64.019997,59.725075,0
2019-01-09,64.349998,64.349998,64.349998,64.349998,60.032932,0
2019-01-10,64.660004,64.660004,64.660004,64.660004,60.322144,0
2019-01-11,64.660004,64.660004,64.660004,64.660004,60.322144,0
2019-01-14,64.290001,64.290001,64.290001,64.290001,59.976963,0
2019-01-15,64.970001,64.970001,64.970001,64.970001,60.611347,0
2019-01-16,65.160004,65.160004,65.160004,65.160004,60.788589,0
2019-01-17,65.669998,65.669998,65.669998,65.669998,61.264385,0
2019-01-18,66.519997,66.519997,66.519997,66.519997,62.057358,0
2019-01-22,65.570000,65.570000,65.570000,65.570000,61.171085,0
2019-01-23,65.669998,65.669998,65.669998,65.669998,61.264385,0
2019-01-24,65.830002,65.830002,65.830002,65.830002,61.413651,0
2019-01-25,66.440002,66.440002,66.440002,66.440002,61.982723,0
2019-01-28,65.959999,65.959999,65.959999,65.959999,61.534927,0
2019-01-29,65.860001,65.860001,65.860001,65.860001,61.441639,0
2019-01-30,66.849998,66.849998,66.849998,66.849998,62.365208,0
2019-01-31,67.430000,67.430000,67.430000,67.430000,62.906311,0
2019-02-01,67.540001,67.540001,67.540001,67.540001,63.008934,0
2019-02-04,68.019997,68.019997,68.019997,68.019997,63.456718,0
2019-02-05,68.330002,68.330002,68.330002,68.330002,63.745930,0
2019-02-06,68.180000,68.180000,68.180000,68.180000,63.605999,0
